index,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,BuildingArea,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Coordinates,MonthSale,AgeBuilding,WeekdaySale,Weekend
49,Airport West,3/19 Hart St,2,unit,515000.0,S,Barry,2016-11-07,13.5,3042,2.0,1.0,1.0,141.0,73.0,Moonee Valley,-37.7298,144.8883,Western Metropolitan,3464.0,"-37.7298, 144.8883",11,3.0,0,0
50,Airport West,2/62 Clydesdale Rd,2,unit,530000.0,S,Nelson,2016-09-10,13.5,3042,2.0,1.0,1.0,120.0,94.0,Moonee Valley,-37.7234,144.8792,Western Metropolitan,3464.0,"-37.7234, 144.8792",9,4.0,5,1
51,Airport West,3 Deidre Ct,3,house,895000.0,PI,Rendina,2016-09-10,13.5,3042,3.0,1.0,6.0,1063.0,133.0,Moonee Valley,-37.7249,144.8728,Western Metropolitan,3464.0,"-37.7249, 144.8728",9,41.0,5,1
52,Airport West,13 Etzel St,3,house,805000.0,S,Nelson,2016-12-10,13.5,3042,3.0,1.0,1.0,0.0,105.0,Moonee Valley,-37.7217,144.8783,Western Metropolitan,3464.0,"-37.7217, 144.8783",12,66.0,5,1
53,Airport West,1/43 Cameron St,3,unit,752000.0,S,Nelson,2017-02-11,13.5,3042,3.0,1.0,1.0,265.0,130.0,Moonee Valley,-37.7302,144.8855,Western Metropolitan,3464.0,"-37.7302, 144.8855",2,24.0,5,1
54,Airport West,145a Victory Rd,2,unit,440000.0,S,Barry,2016-08-13,13.5,3042,2.0,1.0,1.0,192.0,126.0,Moonee Valley,-37.7177,144.8787,Western Metropolitan,3464.0,"-37.7177, 144.8787",8,46.0,5,1
55,Airport West,241 Parer Rd,5,house,755000.0,PI,Propertyau,2016-05-14,13.5,3042,3.0,2.0,2.0,596.0,126.0,Moonee Valley,-37.7248,144.8699,Western Metropolitan,3464.0,"-37.7248, 144.8699",5,46.0,5,1
56,Airport West,2/40 Earl St,3,townhouse,700000.0,PI,Brad,2016-10-15,13.5,3042,3.0,2.0,2.0,165.0,133.0,Moonee Valley,-37.727,144.887,Western Metropolitan,3464.0,"-37.727, 144.887",10,7.0,5,1
57,Airport West,180 Parer Rd,3,house,830000.0,S,Barry,2016-04-16,13.5,3042,3.0,1.0,2.0,971.0,113.0,Moonee Valley,-37.7186,144.876,Western Metropolitan,3464.0,"-37.7186, 144.876",4,56.0,5,1
58,Airport West,4/54 Hawker St,2,unit,462500.0,S,Barry,2016-07-16,13.5,3042,2.0,1.0,1.0,164.0,126.0,Moonee Valley,-37.7218,144.8863,Western Metropolitan,3464.0,"-37.7218, 144.8863",7,13.0,5,1
59,Airport West,43 Hillside Gr,3,house,670000.0,SP,Barry,2016-07-16,13.5,3042,3.0,2.0,2.0,657.0,126.0,Moonee Valley,-37.7269,144.8742,Western Metropolitan,3464.0,"-37.7269, 144.8742",7,46.0,5,1
60,Airport West,174 Parer Rd,2,house,675000.0,S,Barry,2016-07-16,13.5,3042,2.0,1.0,1.0,612.0,100.0,Moonee Valley,-37.7187,144.8765,Western Metropolitan,3464.0,"-37.7187, 144.8765",7,41.0,5,1
61,Airport West,138 Victory Rd,3,house,1042000.0,S,Nelson,2016-07-16,13.5,3042,3.0,2.0,5.0,612.0,174.0,Moonee Valley,-37.7173,144.8796,Western Metropolitan,3464.0,"-37.7173, 144.8796",7,66.0,5,1
62,Airport West,75 King St,3,house,910000.0,S,McDonald,2016-09-17,13.5,3042,3.0,1.0,1.0,775.0,126.0,Moonee Valley,-37.7231,144.8835,Western Metropolitan,3464.0,"-37.7231, 144.8835",9,46.0,5,1
63,Airport West,6 Kittyhawk St,4,house,773000.0,S,Brad,2016-09-17,13.5,3042,5.0,3.0,4.0,531.0,309.0,Moonee Valley,-37.7263,144.8679,Western Metropolitan,3464.0,"-37.7263, 144.8679",9,36.0,5,1
64,Airport West,478 Fullarton Rd,3,house,810000.0,PI,Barry,2017-03-18,13.5,3042,3.0,3.0,2.0,555.0,192.0,Moonee Valley,-37.7285,144.8694,Western Metropolitan,3464.0,"-37.7285, 144.8694",3,37.0,5,1
65,Airport West,144 Marshall Rd,3,house,715000.0,S,Rendina,2017-03-18,13.5,3042,3.0,2.0,2.0,422.0,126.0,Moonee Valley,-37.7164,144.8792,Western Metropolitan,3464.0,"-37.7164, 144.8792",3,22.0,5,1
66,Airport West,106 Parer Rd,3,house,790000.0,S,Nelson,2017-03-18,13.5,3042,3.0,1.0,3.0,614.0,126.0,Moonee Valley,-37.7194,144.8827,Western Metropolitan,3464.0,"-37.7194, 144.8827",3,47.0,5,1
67,Airport West,3/7 South Rd,3,townhouse,540000.0,SP,Nelson,2016-06-18,13.5,3042,2.0,2.0,1.0,161.0,101.0,Moonee Valley,-37.7231,144.8802,Western Metropolitan,3464.0,"-37.7231, 144.8802",6,6.0,5,1
68,Airport West,37 North St,3,townhouse,825000.0,SP,Barry,2016-11-19,13.5,3042,3.0,2.0,1.0,293.0,102.0,Moonee Valley,-37.72,144.8776,Western Metropolitan,3464.0,"-37.72, 144.8776",11,56.0,5,1
69,Airport West,10 Hilbert Rd,3,house,685000.0,S,Barry,2016-05-22,13.5,3042,3.0,1.0,1.0,579.0,113.0,Moonee Valley,-37.7226,144.8733,Western Metropolitan,3464.0,"-37.7226, 144.8733",5,41.0,6,1
70,Airport West,110 Halsey Rd,3,house,805000.0,S,Barry,2016-08-22,13.5,3042,3.0,1.0,1.0,623.0,126.0,Moonee Valley,-37.7184,144.882,Western Metropolitan,3464.0,"-37.7184, 144.882",8,46.0,0,0
71,Airport West,2/13 North St,2,unit,510000.0,S,Nelson,2016-08-22,13.5,3042,2.0,1.0,1.0,141.0,76.0,Moonee Valley,-37.7202,144.8797,Western Metropolitan,3464.0,"-37.7202, 144.8797",8,46.0,0,0
72,Airport West,105a Victory Rd,3,house,612000.0,S,Nelson,2016-08-22,13.5,3042,3.0,2.0,1.0,212.0,126.0,Moonee Valley,-37.7181,144.8824,Western Metropolitan,3464.0,"-37.7181, 144.8824",8,46.0,0,0
73,Airport West,117 Marshall Rd,3,house,662000.0,S,Brad,2016-04-23,13.5,3042,3.0,1.0,2.0,612.0,126.0,Moonee Valley,-37.7169,144.8815,Western Metropolitan,3464.0,"-37.7169, 144.8815",4,46.0,5,1
74,Airport West,34 Moorna Dr,4,house,978000.0,S,Nelson,2016-09-24,13.5,3042,4.0,3.0,2.0,532.0,126.0,Moonee Valley,-37.7263,144.869,Western Metropolitan,3464.0,"-37.7263, 144.869",9,46.0,5,1
75,Airport West,33 North St,3,house,720000.0,PI,Nelson,2017-02-25,13.5,3042,3.0,1.0,1.0,585.0,126.0,Moonee Valley,-37.72,144.878,Western Metropolitan,3464.0,"-37.72, 144.878",2,47.0,5,1
76,Airport West,49 Roberts Rd,4,house,765000.0,S,Prof.,2016-11-27,13.5,3042,4.0,1.0,2.0,509.0,126.0,Moonee Valley,-37.7261,144.8785,Western Metropolitan,3464.0,"-37.7261, 144.8785",11,46.0,6,1
77,Airport West,85 Roberts Rd,4,house,900000.0,S,Harcourts,2016-11-27,13.5,3042,4.0,2.0,3.0,628.0,146.0,Moonee Valley,-37.7256,144.8739,Western Metropolitan,3464.0,"-37.7256, 144.8739",11,41.0,6,1
78,Albert Park,105 Kerferd Rd,2,house,1275000.0,S,hockingstuart,2016-09-03,3.3,3206,2.0,1.0,0.0,120.0,82.0,Port Phillip,-37.8459,144.9555,Southern Metropolitan,3280.0,"-37.8459, 144.9555",9,116.0,5,1
79,Albert Park,85 Richardson St,2,house,1455000.0,S,Thomson,2016-09-03,3.3,3206,2.0,1.0,0.0,159.0,126.0,Port Phillip,-37.845,144.9538,Southern Metropolitan,3280.0,"-37.845, 144.9538",9,46.0,5,1
80,Albert Park,112 Beaconsfield Pde,3,house,2850000.0,PI,Buxton,2017-03-04,3.3,3206,3.0,2.0,0.0,211.0,198.0,Port Phillip,-37.8481,144.9499,Southern Metropolitan,3280.0,"-37.8481, 144.9499",3,127.0,5,1
81,Albert Park,94 Graham St,3,house,1850000.0,S,Greg,2017-03-04,3.3,3206,3.0,2.0,0.0,128.0,133.0,Port Phillip,-37.8452,144.9488,Southern Metropolitan,3280.0,"-37.8452, 144.9488",3,127.0,5,1
82,Albert Park,396 Montague St,2,house,1436000.0,S,RT,2017-03-04,3.3,3206,2.0,1.0,0.0,130.0,81.0,Port Phillip,-37.8431,144.9565,Southern Metropolitan,3280.0,"-37.8431, 144.9565",3,117.0,5,1
83,Albert Park,75 Graham St,2,house,1110000.0,S,Marshall,2016-08-06,3.3,3206,1.0,1.0,0.0,147.0,126.0,Port Phillip,-37.8444,144.9484,Southern Metropolitan,3280.0,"-37.8444, 144.9484",8,116.0,5,1
84,Albert Park,54 Brooke St,2,house,1550000.0,S,Sotheby's,2016-05-07,3.3,3206,2.0,1.0,1.0,167.0,126.0,Port Phillip,-37.8405,144.9521,Southern Metropolitan,3280.0,"-37.8405, 144.9521",5,46.0,5,1
85,Albert Park,104 Richardson St,4,house,2300000.0,S,Marshall,2016-05-07,3.3,3206,4.0,2.0,1.0,153.0,180.0,Port Phillip,-37.8447,144.9523,Southern Metropolitan,3280.0,"-37.8447, 144.9523",5,136.0,5,1
86,Albert Park,4a Mills St,3,townhouse,1550000.0,VB,Marshall,2016-11-07,3.3,3206,3.0,2.0,2.0,718.0,126.0,Port Phillip,-37.8443,144.9598,Southern Metropolitan,3280.0,"-37.8443, 144.9598",11,46.0,0,0
87,Albert Park,1 Moubray St,3,house,1800000.0,VB,Greg,2016-11-07,3.3,3206,3.0,2.0,1.0,132.0,159.0,Port Phillip,-37.8415,144.952,Southern Metropolitan,3280.0,"-37.8415, 144.952",11,20.0,0,0
88,Albert Park,29 Faussett St,2,house,2120000.0,S,Greg,2016-09-10,3.3,3206,2.0,1.0,1.0,199.0,107.0,Port Phillip,-37.8422,144.9554,Southern Metropolitan,3280.0,"-37.8422, 144.9554",9,116.0,5,1
89,Albert Park,3 Herbert St,3,house,1800000.0,VB,Cayzer,2016-09-10,3.3,3206,3.0,1.0,1.0,253.0,126.0,Port Phillip,-37.8443,144.9579,Southern Metropolitan,3280.0,"-37.8443, 144.9579",9,46.0,5,1
90,Albert Park,24 Kerferd Pl,3,house,1800000.0,S,Marshall,2016-09-10,3.3,3206,3.0,2.0,1.0,90.0,122.0,Port Phillip,-37.8421,144.9571,Southern Metropolitan,3280.0,"-37.8421, 144.9571",9,116.0,5,1
91,Albert Park,44 Draper St,2,house,1810000.0,PI,Greg,2016-12-10,3.3,3206,2.0,1.0,0.0,240.0,126.0,Port Phillip,-37.8379,144.9539,Southern Metropolitan,3280.0,"-37.8379, 144.9539",12,46.0,5,1
92,Albert Park,2 Dundas Pl,3,house,2615000.0,S,Cayzer,2016-12-10,3.3,3206,3.0,2.0,1.0,177.0,181.0,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3280.0,"-37.8415, 144.9585",12,136.0,5,1
93,Albert Park,23 Finlay St,5,house,2100000.0,S,Greg,2016-12-10,3.3,3206,5.0,2.0,1.0,237.0,126.0,Port Phillip,-37.8436,144.9557,Southern Metropolitan,3280.0,"-37.8436, 144.9557",12,46.0,5,1
94,Albert Park,31 Richardson St,3,house,1300000.0,S,hockingstuart,2016-12-10,3.3,3206,3.0,1.0,0.0,129.0,126.0,Port Phillip,-37.8422,144.94899999999996,Southern Metropolitan,3280.0,"-37.8422, 144.949",12,46.0,5,1
95,Albert Park,4a Gatehouse La,3,house,1370000.0,S,Greg,2016-06-12,3.3,3206,3.0,2.0,2.0,0.0,85.0,Port Phillip,-37.8451,144.9511,Southern Metropolitan,3280.0,"-37.8451, 144.9511",6,16.0,6,1
96,Albert Park,60 Brooke St,2,house,1000000.0,S,Cayzer,2016-11-12,3.3,3206,2.0,1.0,0.0,288.0,126.0,Port Phillip,-37.8407,144.9523,Southern Metropolitan,3280.0,"-37.8407, 144.9523",11,46.0,5,1
97,Albert Park,70 Barrett St,3,house,2575000.0,S,Greg,2016-10-15,3.3,3206,3.0,2.0,1.0,228.0,126.0,Port Phillip,-37.8445,144.9501,Southern Metropolitan,3280.0,"-37.8445, 144.9501",10,46.0,5,1
98,Albert Park,65 Graham St,2,house,1322500.0,S,Greg,2016-10-15,3.3,3206,2.0,1.0,0.0,149.0,98.0,Port Phillip,-37.8443,144.9481,Southern Metropolitan,3280.0,"-37.8443, 144.9481",10,126.0,5,1
99,Albert Park,364 Montague St,2,house,1562500.0,S,Greg,2016-10-15,3.3,3206,2.0,1.0,0.0,141.0,83.0,Port Phillip,-37.8424,144.9562,Southern Metropolitan,3280.0,"-37.8424, 144.9562",10,126.0,5,1
100,Albert Park,86 Mills St,3,house,2000000.0,VB,RT,2016-04-16,3.3,3206,3.0,2.0,1.0,211.0,147.0,Port Phillip,-37.847,144.9575,Southern Metropolitan,3280.0,"-37.847, 144.9575",4,116.0,5,1
101,Albert Park,129 Kerferd Rd,3,house,1900000.0,S,Greg,2017-03-18,3.3,3206,3.0,1.0,0.0,209.0,126.0,Port Phillip,-37.8468,144.9546,Southern Metropolitan,3280.0,"-37.8468, 144.9546",3,117.0,5,1
102,Albert Park,97 Page St,3,house,3010000.0,S,Greg,2017-03-18,3.3,3206,3.0,2.0,0.0,147.0,146.0,Port Phillip,-37.8473,144.9551,Southern Metropolitan,3280.0,"-37.8473, 144.9551",3,127.0,5,1
103,Albert Park,55 Withers St,4,house,2800000.0,VB,Cayzer,2016-06-18,3.3,3206,4.0,3.0,1.0,327.0,254.0,Port Phillip,-37.8467,144.9475,Southern Metropolitan,3280.0,"-37.8467, 144.9475",6,106.0,5,1
104,Albert Park,10/140 Kerferd Rd,2,unit,647000.0,S,Greg,2016-05-22,3.3,3206,2.0,1.0,1.0,0.0,126.0,Port Phillip,-37.846,144.9542,Southern Metropolitan,3280.0,"-37.846, 144.9542",5,46.0,6,1
105,Albert Park,55 Merton St,3,house,2100000.0,SP,Marshall,2016-04-23,3.3,3206,2.0,1.0,1.0,120.0,123.0,Port Phillip,-37.8427,144.9546,Southern Metropolitan,3280.0,"-37.8427, 144.9546",4,116.0,5,1
106,Albert Park,49 Page St,3,house,2000000.0,PI,Marshall,2016-09-24,3.3,3206,3.0,1.0,1.0,238.0,131.0,Port Phillip,-37.8461,144.9528,Southern Metropolitan,3280.0,"-37.8461, 144.9528",9,126.0,5,1
107,Albert Park,13/52 Moubray St,1,unit,442500.0,S,Marshall,2017-02-25,3.3,3206,1.0,1.0,0.0,0.0,34.0,Port Phillip,-37.8421,144.9517,Southern Metropolitan,3280.0,"-37.8421, 144.9517",2,47.0,5,1
108,Albert Park,115 Page St,4,house,4735000.0,S,Marshall,2017-02-25,3.3,3206,4.0,2.0,1.0,330.0,207.0,Port Phillip,-37.8477,144.9558,Southern Metropolitan,3280.0,"-37.8477, 144.9558",2,107.0,5,1
109,Albert Park,32 Page St,2,house,1340000.0,S,Greg,2017-02-25,3.3,3206,2.0,1.0,0.0,136.0,126.0,Port Phillip,-37.846,144.9517,Southern Metropolitan,3280.0,"-37.846, 144.9517",2,47.0,5,1
110,Albert Park,34 Richardson St,3,house,1801000.0,S,hockingstuart,2017-02-25,3.3,3206,3.0,1.0,1.0,202.0,126.0,Port Phillip,-37.8429,144.9493,Southern Metropolitan,3280.0,"-37.8429, 144.9493",2,47.0,5,1
111,Albert Park,2b Dundas Pl,3,house,1532000.0,S,Chisholm,2016-07-26,3.3,3206,3.0,3.0,1.0,0.0,126.0,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3280.0,"-37.8415, 144.9585",7,46.0,1,0
